e1576d,492a3e,aeccd7,de5370,e1325e,50abbb,664b04,bc9a1c,869339,2ead2a,746b4d,a9ad30,d84e64,e9d3e4,93b7ec,78eced,3351b4,773ae4,601605,ab9ebf,f996b8
0.9995438298117059,0.9997079905168242,0.9993942210277291,0.9979966598033874,0.9996172065171857,,0.9988264782316643,0.9942195547037083,0.9988630308767551,,0.9985553251641139,0.998344752169368,0.9993739041756154,0.9986648093137697,0.999192087683048,0.9976190263813911,0.9985816564655303,0.9948572467712413,0.9988222528174595,0.9994487303775852,0.9974405912472247
0.9962942480887641,0.9980587427533105,0.9993317917486539,0.9992099194910659,0.9989701237020776,,0.9991039458000334,0.9969764362298047,0.9983480139361204,,0.9983159221086557,0.9987311343822367,0.99905618062935,0.9994125583133642,0.9991887368206969,0.9993211279699579,0.9991121849984977,0.9993781395749775,0.9986724659341151,0.9987775284643314,0.9982150507158934
0.9984975191083056,0.998744311994713,0.9986330221498609,0.9993100211136116,0.9991360609650843,,0.9984263127950244,,0.9986549330074248,,,0.9991954783998191,,,0.9981858497344711,0.9990970908873295,0.9996852116637558,0.9979411365997576,0.9992635580672916,,0.9985192917517228
0.9986622769488706,0.9980438448773441,0.999033489251675,,0.9996867729334937,,,,0.9991838011627242,,,,,,0.9987408647330192,0.9989408942683162,0.9993109644293569,0.9983748924615709,0.9986937875980739,,0.9988542226069517
0.9987847140731974,0.999052710292941,0.9984095945317658,,0.9990907735836582,,,,0.9993686954989175,,,,,,0.9987793712853295,0.9987783680654647,,0.9995010342680922,0.9953114703926614,,0.9991588523801554
,0.999298482149285,0.9991017054949458,,0.9972733433386228,,,,0.9986130570523299,,,,,,0.9982333666343737,0.9989322334505029,,,0.9989557957024492,,0.9991800454343801
,0.9973878033316399,0.9990236931495695,,0.9985637647549696,,,,,,,,,,0.999421689238541,0.9980561642330165,,,0.9989157303732105,,0.9958463397094385
,,,,,,,,,,,,,,0.999169700064245,0.9989845439563196,,,,,
,,,,,,,,,,,,,,0.9990905749785258,0.9976677750127114,,,,,
,,,,,,,,,,,,,,,0.9991616732012722,,,,,
