run,trace,timeslot,admission_ms
8,ibg-experiment-20260721T171133Z-run008.jsonl,8,8097.378374
8,ibg-experiment-20260721T171133Z-run008.jsonl,9,8178.762232
8,ibg-experiment-20260721T171133Z-run008.jsonl,10,8068.528473
8,ibg-experiment-20260721T171133Z-run008.jsonl,11,8292.018852
8,ibg-experiment-20260721T171133Z-run008.jsonl,12,8009.726934
8,ibg-experiment-20260721T171133Z-run008.jsonl,13,8219.811753
8,ibg-experiment-20260721T171133Z-run008.jsonl,14,8100.861932
9,ibg-experiment-20260721T171338Z-run009.jsonl,1,8088.873104
9,ibg-experiment-20260721T171338Z-run009.jsonl,2,8171.389474
9,ibg-experiment-20260721T171338Z-run009.jsonl,3,8019.648723
9,ibg-experiment-20260721T171338Z-run009.jsonl,4,8080.818708
9,ibg-experiment-20260721T171338Z-run009.jsonl,5,8280.402378
9,ibg-experiment-20260721T171338Z-run009.jsonl,6,8233.468204
9,ibg-experiment-20260721T171338Z-run009.jsonl,7,8125.665903
9,ibg-experiment-20260721T171338Z-run009.jsonl,8,8303.548795
9,ibg-experiment-20260721T171338Z-run009.jsonl,9,8111.519022
9,ibg-experiment-20260721T171338Z-run009.jsonl,10,8134.453469
9,ibg-experiment-20260721T171338Z-run009.jsonl,11,7942.925883
9,ibg-experiment-20260721T171338Z-run009.jsonl,12,8010.181617
9,ibg-experiment-20260721T171338Z-run009.jsonl,13,8195.458863
9,ibg-experiment-20260721T171338Z-run009.jsonl,14,7964.667861
9,ibg-experiment-20260721T171338Z-run009.jsonl,15,8026.214028
9,ibg-experiment-20260721T171338Z-run009.jsonl,16,8156.932688
9,ibg-experiment-20260721T171338Z-run009.jsonl,17,8203.635326
10,ibg-experiment-20260721T171609Z-run010.jsonl,1,8537.821132
10,ibg-experiment-20260721T171609Z-run010.jsonl,2,8509.639062
10,ibg-experiment-20260721T171609Z-run010.jsonl,3,8511.132025
10,ibg-experiment-20260721T171609Z-run010.jsonl,4,8627.525261
10,ibg-experiment-20260721T171609Z-run010.jsonl,5,8714.368021
10,ibg-experiment-20260721T171609Z-run010.jsonl,6,8671.923659
10,ibg-experiment-20260721T171609Z-run010.jsonl,7,8522.543462
10,ibg-experiment-20260721T171609Z-run010.jsonl,8,8561.051338
10,ibg-experiment-20260721T171609Z-run010.jsonl,9,8452.091163
10,ibg-experiment-20260721T171609Z-run010.jsonl,10,8468.50477
10,ibg-experiment-20260721T171609Z-run010.jsonl,11,8459.809242
10,ibg-experiment-20260721T171609Z-run010.jsonl,12,8725.245549
